ID,label
0,neutral
1,neutral
2,negative
3,positive
4,negative
5,positive
6,positive
7,positive
8,positive
9,positive
10,positive
11,neutral
12,neutral
13,negative
14,positive
15,positive
16,neutral
17,neutral
18,neutral
19,neutral
20,positive
21,neutral
22,positive
23,positive
24,neutral
25,negative
26,negative
27,neutral
28,positive
29,neutral
30,neutral
31,positive
32,negative
33,neutral
34,positive
35,neutral
36,neutral
37,positive
38,positive
39,neutral
40,positive
41,positive
42,neutral
43,negative
44,positive
45,positive
46,neutral
47,neutral
48,neutral
49,negative
50,negative
51,positive
52,neutral
53,neutral
54,neutral
55,positive
56,negative
57,positive
58,positive
59,negative
60,positive
61,negative
62,neutral
63,positive
64,neutral
65,positive
66,neutral
67,negative
68,positive
69,neutral
70,neutral
71,negative
72,positive
73,neutral
74,positive
75,neutral
76,neutral
77,positive
78,positive
79,positive
80,negative
81,neutral
82,positive
83,neutral
84,negative
85,neutral
86,positive
87,neutral
88,neutral
89,negative
90,negative
91,negative
92,neutral
93,positive
94,positive
95,neutral
96,negative
97,positive
98,positive
99,positive
100,neutral
101,negative
102,neutral
103,neutral
104,positive
105,negative
106,negative
107,positive
108,neutral
109,negative
110,positive
111,positive
112,negative
113,positive
114,positive
115,positive
116,positive
117,neutral
118,negative
119,neutral
120,neutral
121,neutral
122,positive
123,negative
124,negative
125,positive
126,neutral
127,positive
128,neutral
129,neutral
130,positive
131,neutral
132,neutral
133,positive
134,neutral
135,neutral
136,neutral
137,neutral
138,neutral
139,negative
140,negative
141,neutral
142,positive
143,neutral
144,positive
145,negative
146,neutral
147,neutral
148,neutral
149,negative
150,positive
151,neutral
152,negative
153,neutral
154,neutral
155,positive
156,positive
157,neutral
158,neutral
159,positive
160,negative
161,neutral
162,neutral
163,positive
164,positive
165,positive
166,neutral
167,neutral
168,neutral
169,positive
170,negative
171,positive
172,negative
173,neutral
174,positive
175,positive
176,neutral
177,positive
178,positive
179,positive
180,negative
181,positive
182,positive
183,positive
184,positive
185,positive
186,negative
187,neutral
188,neutral
189,neutral
190,positive
191,negative
192,negative
193,positive
194,neutral
195,negative
196,positive
197,negative
198,neutral
199,positive
200,positive
201,neutral
202,positive
203,neutral
204,neutral
205,neutral
206,positive
207,positive
208,negative
209,neutral
210,positive
211,negative
212,neutral
213,neutral
214,positive
215,neutral
216,neutral
217,negative
218,neutral
219,neutral
220,neutral
221,neutral
222,neutral
223,positive
224,neutral
225,negative
226,neutral
227,negative
228,positive
229,positive
230,positive
231,neutral
232,neutral
233,positive
234,positive
235,positive
236,positive
237,neutral
238,neutral
239,neutral
240,positive
241,positive
242,negative
243,neutral
244,negative
245,neutral
246,neutral
247,neutral
248,neutral
249,positive
250,neutral
251,positive
252,negative
253,positive
254,neutral
255,neutral
256,positive
257,neutral
258,positive
259,positive
260,neutral
261,negative
262,neutral
263,positive
264,negative
265,positive
266,negative
267,negative
268,neutral
269,neutral
270,neutral
271,neutral
272,negative
273,neutral
274,neutral
275,negative
276,positive
277,positive
278,negative
279,neutral
280,positive
281,neutral
282,negative
283,positive
284,positive
285,positive
286,positive
287,neutral
288,negative
289,negative
290,negative
291,negative
292,negative
293,negative
294,negative
295,neutral
296,positive
297,negative
298,positive
299,positive
300,neutral
301,positive
302,positive
303,negative
304,positive
305,neutral
306,neutral
307,neutral
308,negative
309,neutral
310,positive
311,positive
312,positive
313,neutral
314,neutral
315,neutral
316,positive
317,neutral
318,positive
319,neutral
320,negative
321,neutral
322,positive
323,positive
324,negative
325,positive
326,negative
327,negative
328,negative
329,neutral
330,positive
331,positive
332,neutral
333,positive
334,positive
335,positive
336,neutral
337,neutral
338,neutral
339,negative
340,negative
341,positive
342,negative
343,neutral
344,positive
345,positive
346,negative
347,neutral
348,negative
349,negative
350,neutral
351,positive
352,neutral
353,positive
354,negative
355,neutral
356,positive
357,negative
358,positive
359,negative
360,neutral
361,negative
362,negative
363,negative
364,positive
365,negative
366,negative
367,positive
368,positive
369,positive
370,neutral
371,positive
372,neutral
373,positive
374,neutral
375,positive
376,negative
377,negative
378,negative
379,neutral
380,neutral
381,positive
382,positive
383,negative
384,neutral
385,positive
386,negative
387,positive
388,neutral
389,neutral
390,negative
391,positive
392,negative
393,negative
394,negative
395,neutral
396,neutral
397,negative
398,negative
399,neutral
400,positive
401,positive
402,positive
403,neutral
404,positive
405,positive
406,positive
407,negative
408,neutral
409,neutral
410,neutral
411,positive
412,neutral
413,neutral
414,positive
415,neutral
416,neutral
417,neutral
418,positive
419,negative
420,neutral
421,negative
422,negative
423,negative
424,negative
425,positive
426,positive
427,neutral
428,negative
429,negative
430,negative
431,negative
432,negative
433,positive
434,positive
435,neutral
436,negative
437,positive
438,neutral
439,positive
440,negative
441,neutral
442,neutral
443,negative
444,negative
445,neutral
446,positive
447,positive
448,positive
449,positive
450,negative
451,positive
452,positive
453,positive
454,neutral
455,neutral
456,positive
457,negative
458,neutral
459,neutral
460,positive
461,positive
462,negative
463,positive
464,negative
465,neutral
466,positive
467,neutral
468,negative
469,neutral
470,neutral
471,neutral
472,negative
473,negative
474,neutral
475,positive
476,neutral
477,negative
478,neutral
479,neutral
480,neutral
481,positive
482,positive
483,positive
484,neutral
485,positive
486,neutral
487,negative
488,positive
489,negative
490,neutral
491,positive
492,neutral
493,negative
494,neutral
495,positive
496,positive
497,positive
498,positive
499,negative
500,positive
501,neutral
502,positive
503,positive
504,positive
505,negative
506,positive
507,positive
508,neutral
509,negative
510,positive
511,neutral
512,neutral
513,neutral
514,neutral
515,positive
516,neutral
517,negative
518,positive
519,positive
520,positive
521,neutral
522,neutral
523,neutral
524,negative
525,positive
526,positive
527,positive
528,positive
529,positive
530,neutral
531,neutral
532,negative
533,neutral
534,positive
535,negative
536,neutral
537,negative
538,neutral
539,positive
540,negative
541,neutral
542,neutral
543,negative
544,neutral
545,neutral
546,negative
547,neutral
548,neutral
549,negative
550,negative
551,neutral
552,neutral
553,negative
554,positive
555,neutral
